Name,Money,Route,Location on Route,Pokemon,Level,Attack 1,Attack 2,Attack 3,Attack 4,EXP,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed
Hiker Clark,320,Route 116,Bottom Left,Geodude,8,Tackle,Defense Curl,Mud Sport,,147,24,17,21,9,8,8
Youngster Johnson,128,Route 116,Top Left,Shroomish,8,Absorb,Tackle,Stun Spore,,110,27,11,14,11,14,10
,,,,Lotad,8,Astonish,Growl,Absorb,,126,24,8,9,11,13,9
Hiker Devan,320,Route 116,,Geodude,8,Tackle,Defense Curl,Mud Sport,,147,24,15,21,9,9,8
,,,,Geodude,8,Tackle,Defense Curl,Mud Sport,,147,24,18,21,9,8,8
Team Aqua Grunt,220,Rusturf Tunnel,First Visit,Poochyena,11,Tackle,Howl,Sand-Attack,,129,28,18,12,11,11,10
Lady Sarah [2],1600,Route 116,Cut,Lotad,8,Astonish,Growl,Absorb,,126,24,9,9,11,13,9
[2],,,,Zigzagoon,8,Tackle,Growl,Tail Whip,,102,24,9,11,9,11,14
Rich Boy Dawson [2],1600,Route 116,Cut,Zigzagoon,8,Tackle,Growl,Tail Whip,,102,24,9,11,9,11,12
[2],,,,Poochyena,8,Tackle,Howl,,,94,23,11,10,9,9,11
School Kid Jerry [2],180,Route 116,Cut,Ralts,9,Growl,Confusion,,,134,24,9,9,13,12,10
Lass Janice [2],144,Route 116,Cut,Marill,9,Tackle,Defense Curl,Tail Whip,,110,31,8,14,8,12,12
Youngster Joey,144,Route 116,Top Right,Machop,9,Low Kick,Leer,Focus Energy,,169,31,19,14,11,11,11
Rustboro Rival,900,Rustboro City,(Outside Rustboro),Wingull,13,Growl,Water Gun,Supersonic,Wing Attack,178,33,13,11,19,14,27
,,,,Treecko,15,Pound,Leer,Absorb,Quick Attack,208,37,17,17,25,22,26
Lass Haley,96,Route 104,Upper,Lotad,6,Astonish,Growl,,,95,20,8,8,8,12,8
,,,,Shroomish,6,Absorb,Tackle,,,83,23,9,12,9,13,8
Lass Cindy (Full-Restore),1400,Route 104,Pre-Woods,Zigzagoon,7,Tackle,Growl,Tail Whip,,90,22,9,10,9,9,13
Fisherman Darian,360,Route 104,Lower Beach,Magikarp,9,Splash,,,,38,22,6,14,6,8,19
Youngster Billy,112,Route 104 ,Lower Beach,Zigzagoon,5,Tackle,Growl,Tail Whip,,64,18,7,9,8,9,11
,,,,Seedot,7,Bide,Harden,Growth,,111,22,10,13,9,8,9
Fisherman Ned,440,Route 106,Right Side Beach,Tentacool,11,Poison Sting,Supersonic,,,247,29,13,10,16,29,20
Fisherman Elliot,400,Route 106,Left Side Beach,Magikarp,10,Splash,,,,42,24,7,16,8,8,21
,,,,Tentacool,7,Poison Sting,Supersonic,,,157,22,10,9,12,19,14
,,,,Magikarp,10,Splash,,,,42,24,6,17,8,9,21
Sailor Huey,384,Route 109,Beach,Wingull,12,Growl,Water Gun,Supersonic,,164,31,13,12,10,18,25
,,,,Machop,12,Low Kick,Leer,Focus Energy,,226,38,26,17,13,11,13
Sailor Edmond [2],416,Route 109,Beach,Wingull,13,Growl,Water Gun,Supersonic,Wing Attack,178,33,12,12,19,12,27
Tuber Hailey [2],52,Route 109,Beach,Marill,13,Tackle,Defense Curl,Tail Whip,Water Gun,160,41,10,18,10,18,15
Tuber Ricky,52,Route 109,Beach,Zigzagoon,13,Sand-Attack,Headbutt,Tail Whip,Surf,167,33,13,13,12,15,20
Tuber Lola [2],48,Route 109,Beach,Azurill,12,Splash,Charm,Tail Whip,Bubble,84,34,8,15,9,14,9
[2],,,,Azurill,12,Splash,Charm,Tail Whip,Bubble,84,34,8,14,9,14,9
Tuber Chandler [2],48,Route 109,Beach,Tentacool,12,Poison Sting,Supersonic,Constrict,,270,31,15,13,15,29,21
[2],,,,Tentacool,12,Poison Sting,Supersonic,Constrict,,270,31,12,13,17,31,21
Tuber Simon,48,Route 109,Seashore House,Azurill,12,Splash,Charm,Tail Whip,Bubble,84,34,9,14,9,14,8
,,,,Marill,12,Tackle,Defense Curl,Tail Whip,Water Gun,149,38,9,17,8,17,14
Beauty Johanna,1040,Route 109,Seashore House,Goldeen,13,Peck,Tail Whip,Water Sport,Supersonic,309,34,22,20,15,16,21
Sailor Dwayne,352,Route 109,Seashore House,Wingull,11,Growl,Water Gun,Supersonic,,150,29,11,11,17,9,25
,,,,Machop,11,Low Kick,Leer,Focus Energy,,207,36,22,16,12,12,12
,,,,Tentacool,11,Poison Sting,Supersonic,,,247,29,14,10,16,27,20
Team Aqua Grunt,300,Slateport City,Museum Lower,Carvanha,15,Leer,Bite,Rage,Focus Energy,282,38,32,12,24,11,21
Team Aqua Grunt,280,Slateport City,Museum Lower,Zubat,14,Leech Life,Supersonic,Astonish,,162,35,17,12,13,17,20
,,,,Carvanha,14,Leer,Bite,Rage,Focus Energy,264,36,30,10,25,10,20
Pokefan Isabel,1120,Route 110,,Plusle,14,Growl,Thunder Wave,Quick Attack,Helping Hand,360,40,17,16,28,26,34
,,,,Minun,14,Growl,Thunder Wave,Quick Attack,Helping Hand,360,40,16,19,26,28,31
Pokefan Kaleb,1120,Route 110,,Minun,14,Growl,Thunder Wave,Quick Attack,Helping Hand,360,40,16,20,23,28,31
,,,,Plusle,14,Growl,Thunder Wave,Quick Attack,Helping Hand,360,40,17,17,28,26,31
Aroma Lady Daisy,560,Route 103,Far Right,Shroomish,14,Absorb,Tackle,Stun Spore,Leech Seed,195,40,16,18,16,21,15
,,,,Roselia,14,Absorb,Growth,Poison Sting,Stun Spore,456,38,21,17,33,27,23
Twins Amy & Liv [2],360,Route 103,Right Center,Plusle,15,Growl,Thunder Wave,Quick Attack,Helping Hand,384,43,20,17,33,27,29
[2],,,,Minun,15,Growl,Thunder Wave,Quick Attack,Helping Hand,384,43,17,20,27,30,33
Pokefan Miguel,1200,Route 103,Right Beach,Skitty,15,Tail Whip,Attract,Sing,DoubleSlap,208,40,19,18,15,13,20
Fisherman Andrew,600,Route 103,Right Beach,Magikarp,5,Splash,,,,21,17,6,10,6,7,13
,,,,Tentacool,10,Poison Sting,Supersonic,,,225,28,13,10,16,25,19
,,,,Magikarp,15,Splash,Tackle,,,64,31,8,18,9,11,31
Black Belt Rhett [2],480,Route 103,Cut,Makuhita,15,Focus Energy,Sand-Attack,Arm Thrust,Vital Throw,278,48,24,15,12,15,14
Guitarist Marcos [2],480,Route 103,,Voltorb,15,Charge,Tackle,Screech,Sonicboom,330,38,15,23,23,23,32
Lass Sally,256,Trick House,Puzzle 1,Oddish,16,Absorb,Sweet Scent,Poisonpowder,Stun Spore,267,40,21,22,29,22,15
Lass Robin,224,Trick House,Puzzle 1,Skitty,14,Tackle,Tail Whip,Attract,Sing,195,38,17,17,14,14,19
,,,,Shroomish,14,Absorb,Tackle,Stun Spore,Leech Seed,195,40,16,23,16,18,14
,,,Top Right Table,Marill,14,Tackle,Defense Curl,Tail Whip,Water Gun,174,43,10,19,9,20,16
Youngster Eddie,256,Trick House,Puzzle 1,Zigzagoon,14,Growl,Tail Whip,Headbutt,Sand-Attack,180,34,13,16,14,16,18
,,,,Zigzagoon,16,Growl,Tail Whip,Headbutt,Sand-Attack,205,38,14,18,12,19,24
Youngster Timmy,208,Route 110,Mid Main,Aron,15,Harden,Mud-Slap,Headbutt,Metal Claw,308,40,26,35,15,18,14
,,,,Electrike,13,Tackle,Thunder Wave,Leer,Howl,289,33,14,16,21,15,21
Slateport Rival,1200,Route 110,,Slugma,18,Yawn,Smog,Ember,Rock Throw,300,43,18,22,31,20,13
,,,,Grovyle,20,Absorb,Quick Attack,Fury Cutter,Pursuit,604,52,33,22,41,33,49
,,,,Wingull,18,Growl,Water Gun,Supersonic,Wing Attack,246,43,14,16,27,16,36
Collector Edwin [2],840,Route 110,High-Mid Main,Lombre,14,Astonish,Growl,Absorb,Nature Power,422,40,19,20,21,24,17
[2],,,,Nuzleaf,14,Pound,Harden,Growth,Nature Power,422,43,24,16,21,14,23
Guitarist Joseph [2],448,Route 110,High-Mid Main,Electrike,14,Tackle,Thunder Wave,Leer,Howl,312,35,17,16,25,16,20
[2],,,,Voltorb,14,Charge,Tackle,Screech,,308,35,13,19,20,20,33
Psychic Edward,360,Route 110,,Abra,15,Hidden Power,,,,234,32,11,9,32,21,32
Triathlete Alyssa,600,Route 110,,Magnemite,15,Metal Sound,Tackle,Thundershock,Supersonic,286,32,15,26,36,18,18
Fisherman Dale,560,Route 110,Left of Cycling Road,Tentacool,11,Poison Sting,Supersonic,,,247,29,13,12,16,27,20
,,,,Wailmer,14,Splash,Growl,Water Gun,Rollout,411,60,24,14,24,14,21
,,,,Tentacool,11,Poison Sting,Supersonic,,,247,29,11,12,16,29,20
,,,,Wailmer,14,Splash,Growl,Water Gun,Rollout,411,60,24,14,24,12,23
Aroma Lady Rose,560,Route 118,West,Roselia,14,Absorb,Growth,Poison Sting,Stun Spore,456,38,21,17,33,27,23
,,,,Roselia,14,Absorb,Growth,Poison Sting,Stun Spore,456,38,21,17,33,27,23
,,,,Shroomish,14,Absorb,Tackle,Stun Spore,Leech Seed,194,40,16,21,16,21,14
Youngster Deandre,224,Route 118,West,Zigzagoon,14,Growl,Tail Whip,Headbutt,Sand-Attack,180,34,13,16,13,16,21
,,,,Aron,14,Harden,Mud-Slap,Headbutt,Metal Claw,288,38,24,33,14,16,14
,,,,Electrike,14,Tackle,Thunder Wave,Leer,Howl,312,35,18,16,20,16,23
Fisherman Wade,640,Route 118,West,Tentacool,16,Poison Sting,Supersonic,Constrict,,360,38,17,14,21,40,24
Guitarist Dalton,480,Route 118,West,Magnemite,15,Metal Sound,Tackle,Thundershock,Supersonic,286,32,15,26,36,18,18
,,,,Whismur,15,Pound,Uproar,Astonish,Howl,218,44,20,11,20,9,14
PKMN Trainer Wally,960,Mauville City,,Ralts,16,Growl,Confusion,Double Team,Teleport,240,35,14,13,19,14,18
Youngster Ben,272,Mauville Gym,Center,Zigzagoon,17,Headbutt,Sand-Attack,Growl,Thunderbolt,218,42,18,22,18,22,28
,,,,Gulpin,17,Amnesia,Sludge,Yawn,Pound,273,53,22,26,22,26,21
Battle Girl Vivian [2],408,Mauville Gym,Left,Meditite,17,Bide,Detect,Confusion,Thunderpunch,330,39,20,22,22,25,27
[2],,,,Meditite,17,Thunderpunch,Detect,Confusion,Meditate,330,39,20,25,20,25,27
Guitarist Kirk [2],544,Mauville Gym,Left,Electrike,17,Quick Attack,Thunder Wave,Spark,Leer,378,42,22,18,31,20,29
[2],,,,Voltorb,17,Charge,Shock Wave,Screech,,374,42,15,24,25,25,45
Bug Maniac Angelo [2],1020,Mauville Gym,Right,Illumise,17,Shock Wave,Quick Attack,Charm,,530,51,23,27,31,28,35
[2],,,,Volbeat,17,Shock Wave,Quick Attack,Confuse Ray,,530,51,34,25,20,32,35
Guitarist Shawn [2],544,Mauville Gym,Right,Voltorb,17,Charge,Tackle,Screech,Sonicboom,374,42,17,24,27,25,36
[2],,,,Magnemite,17,Tackle,Thundershock,Supersonic,Sonicboom,324,37,19,30,35,25,22
Leader Wattson,2400,Mauville Gym,,Voltorb,20,Rollout,Spark,Self-Destruct,Shock Wave,441,50,21,29,31,31,49
,,,,Electrike,20,Shock Wave,Leer,Quick Attack,Howl,445,50,27,25,35,25,35
,,,,Magneton,22,Supersonic,Shock Wave,Thunder Wave,Sonicboom,759,59,37,57,56,41,41
,,,Dynamo Badge,Manectric,24,Quick Attack,Thunder Wave,Shock Wave,Howl,864,74,52,41,62,41,55
Camper Tyron [2],304,Route 111,South,Sandshrew,19,Scratch,Defense Curl,Sand-Attack,Poison Sting,378,48,36,37,10,16,20
Aroma Lady Celina [2],720,Route 111,South,Roselia,18,Growth,Poison Sting,Stun Spore,Mega Drain,586,46,26,18,45,33,28
Picknicker Bianca [2],288,Route 111,South,Shroomish,18,Tackle,Stun Spore,Leech Seed,Mega Drain,250,49,19,28,19,23,17
Kindler Hayden [2],576,Route 111,South,Numel,18,Growl,Tackle,Ember,,338,49,26,19,30,18,17
Winstrate Victor,320,Route 111,Winstrate House,Taillow,16,Growl,Focus Energy,Quick Attack,Wing Attack,202,39,23,15,15,15,32
,,,,Zigzagoon,16,Growl,Tail Whip,Headbutt,Sand-Attack,205,38,15,18,15,18,24
Winstrate Victoria,340,Route 111,Winstrate House,Roselia,17,Growth,Poison Sting,Stun Spore,Mega Drain,553,45,26,18,44,33,28
Winstrate Vivi,300,Route 111,Winstrate House,Marill,15,Defense Curl,Tail Whip,Water Gun,Rollout,186,47,12,21,13,21,16
,,,,Shroomish,15,Absorb,Tackle,Stun Spore,Leech Seed,208,44,18,21,19,24,17
,,,,Numel,15,Growl,Tackle,Ember,,282,44,24,18,26,22,15
Winstrate Vicky,360,Route 111,Winstrate House,Meditite,18,Hi Jump Kick,Meditate,Confusion,Detect,351,43,23,31,20,29,30
Interviewer Gabby & Ty [2],1632,Route 111,South,Magnemite,17,Tackle,Thundershock,Supersonic,Sonicboom,324,36,17,29,38,24,21
[2],,,,Whismur,17,Pound,Uproar,Astonish,Howl,246,49,20,13,23,14,15
Camper Travis,288,Route 111,South,Sandshrew,18,Scratch,Defense Curl,Sand-Attack,Poison Sting,358,46,35,31,12,15,19
Hiker Trent,640,Route 112,South,Geodude,16,Defense Curl,Mud Sport,Rock Throw,Magnitude,294,38,30,37,14,14,11
,,,,Geodude,17,Defense Curl,Mud Sport,Rock Throw,Magnitude,313,40,35,35,15,15,11
,,,,Geodude,16,Defense Curl,Mud Sport,Rock Throw,Magnitude,294,38,30,33,14,15,11
Hiker Brice,680,Route 112,South,Numel,17,Growl,Tackle,Ember,,320,47,25,19,24,20,16
,,,,Machop,17,Low Kick,Leer,Focus Energy,Karate Chop,320,50,32,22,17,16,14
Kindler Bryant [2],576,Route 112,North,Numel,18,Growl,Tackle,Ember,,338,49,26,20,28,21,15
[2],,,,Slugma,18,Yawn,Smog,Ember,Rock Throw,300,42,19,19,33,19,10
Aroma Lady Shayla [2],720,Route 112,North,Shroomish,18,Tackle,Stun Spore,Leech Seed,Mega Drain,250,49,19,26,19,26,17
[2],,,,Roselia,18,Growth,Poison Sting,Stun Spore,Mega Drain,586,46,28,21,36,33,28
Cooltrainer Wilton,816,Route 111,North,Electrike,17,Thunder Wave,Leer,Howl,Quick Attack,378,42,22,20,29,20,29
,,,,Wailmer,17,Splash,Growl,Water Gun,Rollout,499,73,30,18,30,16,29
,,,,Makuhita,17,Focus Energy,Sand-Attack,Arm Thrust,Vital Throw,316,53,27,17,13,17,15
Cooltrainer Brooke,816,Route 111,North,Wingull,17,Growl,Water Gun,Supersonic,Wing Attack,233,42,17,17,25,17,35
,,,,Numel,17,Growl,Tackle,Ember,,320,49,27,20,29,22,18
,,,,Roselia,17,Growth,Poison Sting,Stun Spore,Mega Drain,553,46,29,22,41,34,26
Black Belt Daisuke,608,Route 111,Mach Bike,Machop,19,Leer,Focus Energy,Karate Chop,Seismic Toss,358,57,37,26,20,20,20
Youngster Jaylen,304,Route 113,Center,Trapinch,19,Bite,Sand-Attack,Faint Attack,,297,46,43,19,22,24,8
Camper Lawrence,288,Route 113,Backtrack,Baltoy,18,Rapid Spin,Mud-Slap,Psybeam,Rock Tomb,223,42,19,21,19,33,24
,,,,Sandshrew,18,Scratch,Defense Curl,Sand-Attack,Poison Sting,358,46,28,35,12,16,19
Ninja Boy Lung [2],216,Route 113,Backtrack,Koffing,18,Poison Gas,Tackle,Smog,Selfdestruct,438,42,28,39,28,18,17
[2],,,,Ninjask,18,Harden,Leech life,Sand-Attack,Fury Swipes,596,49,37,21,23,23,62
PokeManiac Wyatt [2],1080,Route 113,Backtrack,Aron,18,Mud-Slap,Headbutt,Metal Claw,Iron Defense,370,46,33,41,19,19,13
[2],,,,Aron,18,Mud-Slap,Headbutt,Metal Claw,Iron Defense,370,46,30,41,19,19,15
Parasol Lady Madeline,760,Route 113,Center,Numel,19,Ember,Tackle,Magnitude,Sunny Day,358,51,27,18,29,24,18
Twins Tori & Tia [2],456,Route 113,Center,Spinda,19,Tackle,Uproar,Faint Attack,Psybeam,346,51,27,24,27,27,29
[2],,,,Spinda,19,Tackle,Uproar,Faint Attack,Psybeam,346,51,27,27,29,24,27
Ninja Boy Lao,204,Route 113,Top,Koffing,17,Poison Gas,Tackle,Smog,Selfdestruct,415,40,27,37,25,22,14
,,,,Koffing,17,Poison Gas,Tackle,Smog,Selfdestruct,415,40,27,40,22,20,16
,,,,Koffing,17,Poison Gas,Tackle,Smog,Selfdestruct,415,40,27,37,27,18,16
Youngster Dillon,304,Route 113,Center,Aron,19,Mud-Slap,Headbutt,Metal Claw,Iron Defense,390,48,27,47,20,20,16
Picknicker Sophie [2],304,Route 113,Edge of Route,Marill,17,Defense Curl,Tail Whip,Water Gun,Rollout,210,50,11,24,11,19,18
[2],,,,Lombre,19,Growl,Absorb,Nature Power,Fake Out,574,51,24,24,24,34,24
Bird Keeper Coby [2],608,Route 113,Edge of Route,Skarmory,17,Peck,Sand-Attack,Swift,Agility,612,49,32,52,18,28,28
[2],,,,Swellow,19,Focus Energy,Quick Attack,Wing Attack,Double Team,658,51,37,27,24,24,52
Fisherman Nolan,760,Route 114,Top,Barboach,19,Mud Sport,Water Sport,Water Gun,Magnitude,374,48,20,23,22,20,27
Picknicker Charlotte [2],304,Route 114,Right,Nuzleaf,19,Harden,Growth,Nature Power,Fake Out,574,55,31,20,24,22,27
Fisherman Kai [2],760,Route 114,Right,Barboach,19,Mud Sport,Water Sport,Water Gun,Magnitude,374,48,23,21,19,20,29
Fisherman Claude,720,Route 114,Center,Magikarp,16,Splash,Tackle,,,68,32,8,22,9,11,27
,,,,Goldeen,17,Tail Whip,Water Sport,Supersonic,Horn Attack,404,42,27,25,14,24,26
,,,,Barboach,18,Mud Sport,Water Sport,Water Gun,Magnitude,354,46,22,20,18,20,26
Picknicker Nancy,288,Route 114,Center,Marill,18,Defense Curl,Tail Whip,Water Gun,Rollout,223,53,13,23,10,23,19
,,,,Lombre,18,Astonish,Growl,Absorb,Nature Power,543,49,23,20,26,30,25
Sr. and Jr. Tyra & Ivy [2],640,Route 114,Center,Roselia,18,Growth,Stun Spore,Mega Drain,Leech Seed,586,46,26,18,45,33,28
[2],,,,Graveler,20,Defense Curl,Rollout,Mud Sport,Rock Throw,574,52,43,51,23,23,19
Camper Shane,288,Route 114,Right,Sandshrew,18,Scratch,Defense Curl,Sand-Attack,Poison Sting,358,46,32,38,10,15,19
,,,,Nuzleaf,18,Pound,Harden,Growth,Nature Power,543,53,30,19,28,19,23
Pokemaniac Steve,1140,Route 114,Bottom of Grass,Aron,19,Mud-Slap,Headbutt,Metal Claw,Iron Defense,390,48,31,43,22,18,16
Kindler Bernie,576,Route 114,Right,Slugma,18,Yawn,Smog,Ember,Rock Throw,300,42,19,20,30,17,12
,,,,Wingull,18,Growl,Water Gun,Supersonic,Wing Attack,246,42,15,15,21,16,35
Hiker Lucas [2],720,Route 114,Center,Geodude,18,Defense Curl,Mud Sport,Rock Throw,Magnitude,330,42,29,45,15,15,12
[2],,,,Numel,18,Growl,Tackle,Ember,,338,49,26,17,30,21,17
Picknicker Angelina [2],288,Route 114,Center,Lombre,18,Astonish,Growl,Absorb,Nature Power,542,49,23,23,26,30,23
[2],,,,Marill,18,Defense Curl,Tail Whip,Water Gun,Rollout,222,53,13,23,12,20,19
Hiker Lenny,720,Route 114,Center,Geodude,18,Defense Curl,Mud Sport,Rock Throw,Magnitude,331,42,33,41,15,13,13
,,,,Machop,18,Low Kick,Leer,Focus Energy,Karate Chop,339,53,33,20,17,18,17
Black Belt Nob,608,Route 115 Main,Center,Machop,19,Leer,Focus Energy,Karate Chop,Seismic Toss,358,57,40,26,20,20,18
Battle Girl Cyndy,432,Route 115 Main,Top Left,Meditite,18,Meditate,Confusion,Detect,Hidden Power,351,40,21,26,30,21,23
,,,,Makuhita,18,Focus Energy,Sand-Attack,Arm Thrust,Vital Throw,335,56,30,17,14,17,14
Collector Hector [2],1080,Route 115 Main,Center,Zangoose,18,Leer,Quick Attack,Swords Dance,Fury Cutter,636,54,46,23,26,26,40
[2],,,,Seviper,18,Wrap,Lick,Bite,Poison Tail,636,54,41,26,41,28,25
Psychic Marlene [2],432,Route 115 Main,Center,Meditite,18,Meditate,Confusion,Detect,Hidden Power,350,38,20,24,17,24,26
[2],,,,Spoink,18,Splash,Psywave,Odor Sleuth,Psybeam,342,49,14,17,27,36,26
Hiker Mike,640,Rusturf Tunnel,Second Visit,Geodude,16,Defense Curl,Mud Sport,Rock Throw,Magnitude,294,38,30,37,14,14,11
,,,,Geodude,16,Defense Curl,Mud Sport,Rock Throw,Magnitude,294,38,33,33,14,14,11
,,,,Machop,16,Low Kick,Leer,Focus Energy,Karate Chop,301,48,30,21,16,16,16
Pokemon  Breeder Lydia,440,Route 117,Center,Wingull,11,Growl,Wing Attack,Supersonic,,233,29,11,11,17,11,23
,,,,Shroomish,11,Absorb,Tackle,Stun Spore,Leech Seed,153,34,11,19,13,18,12
,,,,Marill,11,Tackle,Defense Curl,Tail Whip,Water Gun,136,36,9,16,9,16,11
,,,,Roselia,11,Absorb,Growth,Poison Sting,,358,32,18,14,27,22,19
,,,,Skitty,11,Growl,Tackle,Tail Whip,Attract,153,32,12,15,12,12,16
,,,,Goldeen,11,Peck,Tail Whip,Water Sport,Supersonic,261,30,19,18,12,16,18
Bug Maniac Derek,960,Route 117,Bottom,Dustox,16,Confusion,Gust,,,548,48,23,30,20,36,30
,,,,Beautifly,16,Absorb,Gust,,,552,48,33,20,36,23,28
Psychic Brandi,408,Route 117,Top,Ralts,17,Growl,Confusion,Double Team,Teleport,255,36,14,13,20,14,18
Triathlete Melina [2],680,Route 117,Top,Doduo,17,Peck,Growl,Pursuit,Fury Attack,348,38,33,20,16,16,30
Battle Girl Aisha [2],408,Route 117,Top,Meditite,17,Bide,Meditate,Confusion,Detect,330,37,18,20,19,23,25
Triathlete Maria,680,Route 117,Bottom,Doduo,17,Peck,Growl,Pursuit,Fury Attack,349,38,33,18,16,16,33
Pokemon  Breeder Isaac,440,Route 117,Center,Whismur,11,Pound,Uproar,Astonish,,160,35,16,10,17,10,9
,,,,Zigzagoon,11,Tackle,Growl,Tail Whip,Headbutt,141,29,11,15,11,12,18
,,,,Aron,11,Tackle,Harden,Mud-Slap,Headbutt,226,32,20,27,13,11,12
,,,,Poochyena,11,Tackle,Howl,Sand-Attack,,129,28,17,12,91,12,12
,,,,Taillow,11,Peck,Growl,Focus Energy,Quick Attack,139,29,15,11,12,11,23
,,,,Makuhita,11,Tackle,Focus Energy,Sand-Attack,Arm Thrust,205,36,18,11,9,11,10
Triathlete Dylan,680,Route 117,Bottom,Doduo,17,Peck,Growl,Pursuit,Fury Attack,349,38,33,18,16,16,33
Sr. & Jr. Anna & Meg [2],544,Route 117,Top,Zigzagoon,15,Growl,Tail Whip,Headbutt,Odor Sleuth,192,36,15,17,14,15,23
[2],,,,Makuhita,17,Tackle,Focus Energy,Arm Thrust,,316,51,25,15,9,16,13
Team Magma Grunt,400,Mt. Chimney,Left,Numel,20,Growl,Tackle,Ember,Magnitude,377,54,29,21,31,23,19
Team Magma Grunt,400,Mt. Chimney,Left,Zubat,20,Leech Life,Supersonic,Astonish,Bite,231,46,23,17,17,23,27
Magma Admin Tabitha (Mt. Chimney),880,Mt. Chimney,Center,Numel,18,Ember,Tackle,Growl,,339,50,27,22,29,19,18
,,,,Zubat,22,Wing Attack,Bite,Astonish,Supersonic,231,50,26,21,20,20,30
,,,,Poochyena,20,Bite,Howl,Sand-Attack,Odor Sleuth,259,45,28,20,18,18,20
,,,,Numel,22,Magnitude,Ember,Tackle,Growl,414,59,32,20,37,26,21
Magma Leader Maxie (Mt. Chimney),2000,Mt. Chimney,Center,Mightyena,24,Bite,Sand-Attack,Roar,Odor Sleuth,658,71,52,46,38,34,42
,,,,Zubat,24,Wing Attack,Bite,Astonish,Supersonic,277,57,33,23,23,28,35
,,,,Camerupt,25,Magnitude,Ember,Tackle,Focus Energy,937,74,64,44,55,47,29
Hiker Eric,800,Jagged Pass,Left,Geodude,20,Defense Curl,Mud Sport,Rock Throw,Magnitude,368,46,37,45,15,17,14
,,,,Baltoy,20,Mud-Slap,Psybeam,Rock Tomb,Selfdestruct,248,46,21,29,18,33,27
Team Magma Straggler,440,Jagged Pass,Center,Poochyena,22,Sand-Attack,Bite,Odor Sleuth,Roar,259,48,33,21,19,19,18
